Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00000759:22G:col-186, E03G2.4:WAGO	col-186, E03G2.4	2	10	1	1	C1	0	1	Control
22G	Gene:WBGene00000803:22G:csb-1, F53H4.1:WAGO	csb-1, F53H4.1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00000803:22G:csb-1, F53H4.1:WAGO	csb-1, F53H4.1	2	8	5	1	C1	1	0	Control
22G	Gene:WBGene00000803:22G:csb-1, F53H4.1:WAGO	csb-1, F53H4.1	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00000820:22G:csp-2, Y73B6BL.7:WAGO	csp-2, Y73B6BL.7	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00000821:22G:csp-3, Y47H9C.6:WAGO	csp-3, Y47H9C.6	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00000835:22G:cuc-1, ZK652.11:CSR	cuc-1, ZK652.11	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00000885:22G:cyn-9, T27D1.1:CSR	cyn-9, T27D1.1	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00000895:22G:B0412.1, dac-1:WAGO	B0412.1, dac-1	2	14	1	1	C1	0	1	Control
22G	Gene:WBGene00000895:22G:B0412.1, dac-1:WAGO	B0412.1, dac-1	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00000900:22G:C05D2.1, daf-4:CSR	C05D2.1, daf-4	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00000903:22G:B0412.2, daf-7:WAGO	B0412.2, daf-7	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00000959:22G:dgk-2, F46H6.2:WAGO	dgk-2, F46H6.2	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00000959:22G:dgk-2, F46H6.2:WAGO	dgk-2, F46H6.2	2	12	7	1	C1	1	0	Control
22G	Gene:WBGene00000970:22G:C17G10.8, dhs-6:CSR	C17G10.8, dhs-6	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00000982:22G:dhs-19, T11F9.11:WAGO	dhs-19, T11F9.11	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00000982:22G:dhs-19, T11F9.11:WAGO	dhs-19, T11F9.11	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00000982:22G:dhs-19, T11F9.11:WAGO	dhs-19, T11F9.11	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00000988:22G:dhs-25, F09E10.3:CSR	dhs-25, F09E10.3	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00000988:22G:dhs-25, F09E10.3:CSR	dhs-25, F09E10.3	2	10	5	1	C1	1	0	Control
22G	Gene:WBGene00001018:22G:C28H8.12, dnc-2:CSR	C28H8.12, dnc-2	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00001018:22G:C28H8.12, dnc-2:CSR	C28H8.12, dnc-2	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00001033:22G:dnj-15, K08D10.2:CSR	dnj-15, K08D10.2	2	2	15	1	C1	0	1	Control
22G	Gene:WBGene00001033:22G:dnj-15, K08D10.2:CSR	dnj-15, K08D10.2	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00001119:22G:C04C3.5, dyf-3:WAGO	C04C3.5, dyf-3	1	6	15	0	C1	0	1	Control
22G	Gene:WBGene00001145:22G:C16C2.2, eat-16:WAGO	C16C2.2, eat-16	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00001155:22G:ech-6, T05G5.6:ALG, CSR	ech-6, T05G5.6	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00001175:22G:C46F4.1, egl-6:CSR	C46F4.1, egl-6	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00001177:22G:B0348.4, egl-8:WAGO	B0348.4, egl-8	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00001189:22G:egl-21, F01D4.4:WAGO	egl-21, F01D4.4	2	6	3	1	C1	1	0	Control
22G	Gene:WBGene00001189:22G:egl-21, F01D4.4:WAGO	egl-21, F01D4.4	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00001193:22G:C23H3.1, egl-26:CSR	C23H3.1, egl-26	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00001230:22G:eif-3.G, F22B5.2:ALG, CSR	eif-3.G, F22B5.2	2	10	1	1	C1	1	0	Control
