Data_type	names	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
22G	Gene:WBGene00020207:22G:T04B8.5:WAGO	T04B8.5	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00020207:22G:T04B8.5:WAGO	T04B8.5	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00020207:22G:T04B8.5:WAGO	T04B8.5	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00020379:22G:T09B4.5:CSR	T09B4.5	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00020427:22G:sav-1, T10H10.3:CSR	sav-1, T10H10.3	1	16	5	0	C1	1	0	Control
22G	Gene:WBGene00020434:22G:T11F8.2:CSR	T11F8.2	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00020434:22G:T11F8.2:CSR	T11F8.2	2	12	1	1	C1	0	1	Control
22G	Gene:WBGene00020455:22G:fbxa-59, T12B5.8:WAGO	fbxa-59, T12B5.8	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00020455:22G:fbxa-59, T12B5.8:WAGO	fbxa-59, T12B5.8	2	12	7	1	C1	0	1	Control
22G	Gene:WBGene00020467:22G:T12F5.2:CSR	T12F5.2	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00020507:22G:T14F9.1, vha-15:CSR	T14F9.1, vha-15	2	4	3	1	C1	0	1	Control
22G	Gene:WBGene00020507:22G:T14F9.1, vha-15:CSR	T14F9.1, vha-15	2	12	5	1	C1	0	1	Control
22G	Gene:WBGene00020507:22G:T14F9.1, vha-15:CSR	T14F9.1, vha-15	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00020540:22G:pals-25, T17A3.2:WAGO	pals-25, T17A3.2	2	12	5	1	C1	1	0	Control
22G	Gene:WBGene00020572:22G:rund-1, T19D7.4:WAGO	rund-1, T19D7.4	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00020632:22G:T20F7.5:WAGO	T20F7.5	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00020767:22G:lgc-40, T24D8.1:WAGO	lgc-40, T24D8.1	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00020767:22G:lgc-40, T24D8.1:WAGO	lgc-40, T24D8.1	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00020783:22G:blos-4, T24H7.4:CSR	blos-4, T24H7.4	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00020784:22G:T24H7.5, tat-4:WAGO	T24H7.5, tat-4	2	4	3	1	C1	0	1	Control
22G	Gene:WBGene00020797:22G:T25D3.3:WAGO	T25D3.3	2	2	17	1	C1	1	0	Control
22G	Gene:WBGene00020830:22G:T26C11.4:CSR	T26C11.4	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00020830:22G:T26C11.4:CSR	T26C11.4	2	8	3	1	C1	1	0	Control
22G	Gene:WBGene00020830:22G:T26C11.4:CSR	T26C11.4	2	14	3	1	C1	1	0	Control
22G	Gene:WBGene00020930:22G:hlh-30, W02C12.3:WAGO	hlh-30, W02C12.3	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00020930:22G:hlh-30, W02C12.3:WAGO	hlh-30, W02C12.3	1	8	13	0	C1	1	0	Control
22G	Gene:WBGene00020937:22G:W02D3.12:CSR	W02D3.12	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00021001:22G:W03F9.3:WAGO	W03F9.3	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00021024:22G:W04C9.2:CSR	W04C9.2	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00021027:22G:W04C9.5:WAGO	W04C9.5	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00021039:22G:W05F2.7:WAGO	W05F2.7	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00021039:22G:W05F2.7:WAGO	W05F2.7	2	8	9	1	C1	1	0	Control
22G	Gene:WBGene00021053:22G:gadr-4, W06A11.2:WAGO	gadr-4, W06A11.2	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00021075:22G:sms-5, W07E6.3:WAGO	sms-5, W07E6.3	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00021075:22G:sms-5, W07E6.3:WAGO	sms-5, W07E6.3	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00021075:22G:sms-5, W07E6.3:WAGO	sms-5, W07E6.3	2	12	3	1	C1	0	1	Control
22G	Gene:WBGene00021293:22G:Y25C1A.6:CSR	Y25C1A.6	2	2	1	1	C1	0	1	Control
22G	Gene:WBGene00021293:22G:Y25C1A.6:CSR	Y25C1A.6	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00021304:22G:nphp-2, Y32G9A.6:WAGO	nphp-2, Y32G9A.6	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00021312:22G:szy-2, Y32H12A.4:CSR	szy-2, Y32H12A.4	2	4	5	1	C1	0	1	Control
22G	Gene:WBGene00021312:22G:szy-2, Y32H12A.4:CSR	szy-2, Y32H12A.4	2	12	1	1	C1	0	1	Control
22G	Gene:WBGene00021312:22G:szy-2, Y32H12A.4:CSR	szy-2, Y32H12A.4	1	16	5	0	C1	0	1	Control
22G	Gene:WBGene00021319:22G:Y34B4A.2:WAGO	Y34B4A.2	2	4	15	1	C1	1	0	Control
22G	Gene:WBGene00021349:22G:arl-13, Y37E3.5:WAGO	arl-13, Y37E3.5	2	2	11	1	C1	1	0	Control
22G	Gene:WBGene00021349:22G:arl-13, Y37E3.5:WAGO	arl-13, Y37E3.5	1	16	5	0	C1	1	0	Control
22G	Gene:WBGene00021353:22G:iglr-3, Y37E3.13:WAGO	iglr-3, Y37E3.13	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00021353:22G:iglr-3, Y37E3.13:WAGO	iglr-3, Y37E3.13	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00021357:22G:Y37E11AL.1:WAGO	Y37E11AL.1	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00021428:22G:Y38F2AR.10:ALG, WAGO	Y38F2AR.10	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00021461:22G:nekl-1, Y39G10AR.3:WAGO	nekl-1, Y39G10AR.3	2	10	5	1	C1	1	0	Control
22G	Gene:WBGene00021461:22G:nekl-1, Y39G10AR.3:WAGO	nekl-1, Y39G10AR.3	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00021475:22G:tbca-1, Y39G10AR.20:CSR	tbca-1, Y39G10AR.20	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00021637:22G:Y47G6A.7:WAGO	Y47G6A.7	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00021637:22G:Y47G6A.7:WAGO	Y47G6A.7	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00021647:22G:Y47G6A.22:CSR	Y47G6A.22	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00021668:22G:Y48G1BM.2:WAGO	Y48G1BM.2	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00021730:22G:Y49F6C.8:CSR	Y49F6C.8	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00021730:22G:Y49F6C.8:CSR	Y49F6C.8	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00021799:22G:Y53G8AL.1:WAGO	Y53G8AL.1	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00021802:22G:Y53G8AM.1:WAGO	Y53G8AM.1	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00021802:22G:Y53G8AM.1:WAGO	Y53G8AM.1	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00021808:22G:Y53G8AM.8:WAGO	Y53G8AM.8	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00021816:22G:Y53G8AR.9:CSR	Y53G8AR.9	2	2	3	1	C1	0	1	Control
22G	Gene:WBGene00021816:22G:Y53G8AR.9:CSR	Y53G8AR.9	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00021816:22G:Y53G8AR.9:CSR	Y53G8AR.9	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00021855:22G:Y54F10AR.2:CSR	Y54F10AR.2	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00021855:22G:Y54F10AR.2:CSR	Y54F10AR.2	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00021871:22G:dml-1, Y54G2A.5:CSR	dml-1, Y54G2A.5	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00021871:22G:dml-1, Y54G2A.5:CSR	dml-1, Y54G2A.5	2	10	1	1	C1	0	1	Control
22G	Gene:WBGene00021871:22G:dml-1, Y54G2A.5:CSR	dml-1, Y54G2A.5	2	14	3	1	C1	0	1	Control
22G	Gene:WBGene00021909:22G:Y55B1BL.1:WAGO	Y55B1BL.1	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00022026:22G:Y65B4A.2:WAGO	Y65B4A.2	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00022035:22G:Y65B4BL.3:CSR	Y65B4BL.3	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00022040:22G:Y65B4BR.1:WAGO	Y65B4BR.1	2	14	1	1	C1	1	0	Control
22G	Gene:WBGene00022060:22G:dmd-9, Y67D8A.3:WAGO	dmd-9, Y67D8A.3	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00022060:22G:dmd-9, Y67D8A.3:WAGO	dmd-9, Y67D8A.3	1	10	11	0	C1	0	1	Control
22G	Gene:WBGene00022075:22G:Y69A2AR.3:CSR	Y69A2AR.3	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00022103:22G:cdh-12, Y71D11A.1:WAGO	cdh-12, Y71D11A.1	1	10	11	0	C1	1	0	Control
22G	Gene:WBGene00022131:22G:Y71F9B.13:WAGO	Y71F9B.13	2	2	7	1	C1	1	0	Control
22G	Gene:WBGene00022145:22G:Y71G12B.5:WAGO	Y71G12B.5	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00022177:22G:Y71H2AM.12:WAGO	Y71H2AM.12	2	8	11	1	C1	1	0	Control
22G	Gene:WBGene00022190:22G:josd-1, Y71H2AR.3:CSR	josd-1, Y71H2AR.3	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00022199:22G:pfk-1.1, Y71H10A.1:CSR	pfk-1.1, Y71H10A.1	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00022209:22G:Y73B3A.7:WAGO	Y73B3A.7	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00022213:22G:Y73B3A.11:WAGO	Y73B3A.11	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00022213:22G:Y73B3A.11:WAGO	Y73B3A.11	2	14	3	1	C1	1	0	Control
22G	Gene:WBGene00022216:22G:fbxa-16, Y73B3A.14:WAGO	fbxa-16, Y73B3A.14	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00022231:22G:tyr-6, Y73B6BL.1:WAGO	tyr-6, Y73B6BL.1	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00022231:22G:tyr-6, Y73B6BL.1:WAGO	tyr-6, Y73B6BL.1	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00022268:22G:Y73E7A.1:CSR	Y73E7A.1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00022276:22G:nlp-40, Y74C9A.2:WAGO	nlp-40, Y74C9A.2	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00022290:22G:Y75D11A.1:WAGO	Y75D11A.1	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00022309:22G:rpc-11, Y77E11A.6:CSR	rpc-11, Y77E11A.6	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00022315:22G:Y81B9A.1:WAGO	Y81B9A.1	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00022315:22G:Y81B9A.1:WAGO	Y81B9A.1	2	8	5	1	C1	1	0	Control
22G	Gene:WBGene00022315:22G:Y81B9A.1:WAGO	Y81B9A.1	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00022353:22G:pals-18, Y82E9BR.21:WAGO	pals-18, Y82E9BR.21	2	8	7	1	C1	1	0	Control
22G	Gene:WBGene00022353:22G:pals-18, Y82E9BR.21:WAGO	pals-18, Y82E9BR.21	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00022357:22G:kbp-4, Y92C3B.1:CSR	kbp-4, Y92C3B.1	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00022357:22G:kbp-4, Y92C3B.1:CSR	kbp-4, Y92C3B.1	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00022357:22G:kbp-4, Y92C3B.1:CSR	kbp-4, Y92C3B.1	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00022357:22G:kbp-4, Y92C3B.1:CSR	kbp-4, Y92C3B.1	1	14	7	0	C1	1	0	Control
22G	Gene:WBGene00022367:22G:Y92H12BM.1:CSR	Y92H12BM.1	2	14	1	1	C1	0	1	Control
22G	Gene:WBGene00022367:22G:Y92H12BM.1:CSR	Y92H12BM.1	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00022394:22G:natb-1, Y97E10AL.3:CSR	natb-1, Y97E10AL.3	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00022413:22G:Y102A11A.3:WAGO	Y102A11A.3	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00022413:22G:Y102A11A.3:WAGO	Y102A11A.3	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00022455:22G:tyms-1, Y110A7A.4:CSR	tyms-1, Y110A7A.4	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00022455:22G:tyms-1, Y110A7A.4:CSR	tyms-1, Y110A7A.4	1	8	13	0	C1	0	1	Control
22G	Gene:WBGene00022471:22G:rnf-145, Y119C1B.5:CSR	rnf-145, Y119C1B.5	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00022486:22G:fbxa-61, Y119D3B.8:WAGO	fbxa-61, Y119D3B.8	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00022486:22G:fbxa-61, Y119D3B.8:WAGO	fbxa-61, Y119D3B.8	1	8	13	0	C1	0	1	Control
22G	Gene:WBGene00022508:22G:ZC53.1:WAGO	ZC53.1	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00022508:22G:ZC53.1:WAGO	ZC53.1	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00022519:22G:ZC123.4:WAGO	ZC123.4	2	4	5	1	C1	1	0	Control
22G	Gene:WBGene00022589:22G:ZC317.6:WAGO	ZC317.6	2	12	1	1	C1	0	1	Control
22G	Gene:WBGene00022589:22G:ZC317.6:WAGO	ZC317.6	1	18	3	0	C1	0	1	Control
22G	Gene:WBGene00022613:22G:sek-3, ZC449.3:CSR	sek-3, ZC449.3	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00022691:22G:math-50, ZK250.8:WAGO	math-50, ZK250.8	1	8	13	0	C1	0	1	Control
22G	Gene:WBGene00022835:22G:ZK973.9:CSR	ZK973.9	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00022835:22G:ZK973.9:CSR	ZK973.9	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00022835:22G:ZK973.9:CSR	ZK973.9	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00022877:22G:wago-5, ZK1248.7:CSR	wago-5, ZK1248.7	1	4	17	0	C1	1	0	Control
22G	Gene:WBGene00022881:22G:ZK1248.11:CSR	ZK1248.11	1	2	19	0	C1	0	1	Control
22G	Gene:WBGene00023314:22G:H31G24.2:WAGO	H31G24.2	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00023497:22G:lin-15B, ZK662.4:WAGO	lin-15B, ZK662.4	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00043538:22G:W03G1.4:WAGO	W03G1.4	2	4	13	1	C1	1	0	Control
22G	Gene:WBGene00043707:22G:Y55F3C.6:WAGO	Y55F3C.6	2	4	13	1	C1	1	0	Control
22G	Gene:WBGene00043992:22G:bbs-4, F58A4.14:WAGO	bbs-4, F58A4.14	2	2	13	1	C1	1	0	Control
22G	Gene:WBGene00043992:22G:bbs-4, F58A4.14:WAGO	bbs-4, F58A4.14	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00044204:22G:suds-3, T07C12.14:CSR	suds-3, T07C12.14	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00044227:22G:C07A9.13:WAGO	C07A9.13	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00044227:22G:C07A9.13:WAGO	C07A9.13	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00044258:22G:Y57G11C.51:WAGO	Y57G11C.51	2	6	3	1	C1	1	0	Control
22G	Gene:WBGene00044258:22G:Y57G11C.51:WAGO	Y57G11C.51	2	12	3	1	C1	1	0	Control
22G	Gene:WBGene00044258:22G:Y57G11C.51:WAGO	Y57G11C.51	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00044341:22G:ave-1, M01G5.6:CSR	ave-1, M01G5.6	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00044341:22G:ave-1, M01G5.6:CSR	ave-1, M01G5.6	2	18	1	1	C1	0	1	Control
22G	Gene:WBGene00044347:22G:Y71G12B.30:ALG, WAGO	Y71G12B.30	2	2	1	1	C1	1	0	Control
22G	Gene:WBGene00044462:22G:C44B12.9:WAGO	C44B12.9	2	10	3	1	C1	0	1	Control
22G	Gene:WBGene00044468:22G:Y69A2AL.2:WAGO	Y69A2AL.2	2	18	1	1	C1	0	1	Control
22G	Gene:WBGene00044486:22G:Y54G2A.42:WAGO	Y54G2A.42	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00044486:22G:Y54G2A.42:WAGO	Y54G2A.42	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00044487:22G:Y54G2A.44:WAGO	Y54G2A.44	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00044487:22G:Y54G2A.44:WAGO	Y54G2A.44	1	16	5	0	C1	1	0	Control
22G	Gene:WBGene00044495:22G:Y54G2A.40:WAGO	Y54G2A.40	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00044504:22G:R13A1.10:WAGO	R13A1.10	2	6	3	1	C1	1	0	Control
22G	Gene:WBGene00044504:22G:R13A1.10:WAGO	R13A1.10	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00044585:22G:C40H5.8:WAGO	C40H5.8	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00044609:22G:tbcc-1, Y71H2AM.24:CSR	tbcc-1, Y71H2AM.24	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00044609:22G:tbcc-1, Y71H2AM.24:CSR	tbcc-1, Y71H2AM.24	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00044637:22G:rft-1, Y47D7A.16:WAGO	rft-1, Y47D7A.16	2	4	5	1	C1	1	0	Control
22G	Gene:WBGene00044666:22G:F33G12.7:CSR	F33G12.7	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00044666:22G:F33G12.7:CSR	F33G12.7	2	14	1	1	C1	1	0	Control
22G	Gene:WBGene00044693:22G:F12E12.9, fbxb-92:WAGO	F12E12.9, fbxb-92	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00044714:22G:ZK1225.10:WAGO	ZK1225.10	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00044714:22G:ZK1225.10:WAGO	ZK1225.10	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00044736:22G:gfrp-1, Y38C1AA.13:WAGO	gfrp-1, Y38C1AA.13	2	12	1	1	C1	1	0	Control
22G	Gene:WBGene00044760:22G:Y71H2AM.25:WAGO	Y71H2AM.25	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00044760:22G:Y71H2AM.25:WAGO	Y71H2AM.25	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00044760:22G:Y71H2AM.25:WAGO	Y71H2AM.25	2	16	3	1	C1	1	0	Control
22G	Gene:WBGene00044762:22G:ZK688.11:CSR	ZK688.11	2	6	1	1	C1	0	1	Control
22G	Gene:WBGene00044762:22G:ZK688.11:CSR	ZK688.11	2	18	1	1	C1	0	1	Control
22G	Gene:WBGene00044891:22G:T07C4.12:CSR	T07C4.12	2	4	1	1	C1	1	0	Control
22G	Gene:WBGene00045246:22G:C29E4.15:WAGO	C29E4.15	2	16	1	1	C1	1	0	Control
22G	Gene:WBGene00050937:22G:R02D5.8:CSR	R02D5.8	2	2	3	1	C1	1	0	Control
22G	Gene:WBGene00077658:22G:M106.8:CSR	M106.8	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00194642:22G:C25H3.17:CSR	C25H3.17	2	6	1	1	C1	1	0	Control
22G	Gene:WBGene00194642:22G:C25H3.17:CSR	C25H3.17	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00194642:22G:C25H3.17:CSR	C25H3.17	2	14	1	1	C1	1	0	Control
22G	Gene:WBGene00194642:22G:C25H3.17:CSR	C25H3.17	1	20	1	0	C1	1	0	Control
22G	Gene:WBGene00194708:22G:Y36E3A.2:WAGO	Y36E3A.2	2	10	1	1	C1	1	0	Control
22G	Gene:WBGene00194725:22G:T16H12.13:WAGO	T16H12.13	2	4	3	1	C1	1	0	Control
22G	Gene:WBGene00194725:22G:T16H12.13:WAGO	T16H12.13	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00194794:22G:F45B8.5:WAGO	F45B8.5	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00194913:22G:Y105C5A.1272:ERGO, WAGO	Y105C5A.1272	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00195142:22G:M110.10:WAGO	M110.10	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00196907:NA:F22G12.9:unk	F22G12.9	2	2	1	1	C1	0	1	Control
22G	Gene:WBGene00196907:NA:F22G12.9:unk	F22G12.9	2	8	1	1	C1	0	1	Control
22G	Gene:WBGene00196907:NA:F22G12.9:unk	F22G12.9	2	12	3	1	C1	0	1	Control
22G	Gene:WBGene00196907:NA:F22G12.9:unk	F22G12.9	2	18	1	1	C1	0	1	Control
22G	Gene:WBGene00206474:22G:T22A3.12:WAGO	T22A3.12	2	8	1	1	C1	1	0	Control
22G	Gene:WBGene00206535:22G:M162.15:WAGO	M162.15	2	4	1	1	C1	0	1	Control
22G	Gene:WBGene00206535:22G:M162.15:WAGO	M162.15	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00206535:22G:M162.15:WAGO	M162.15	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00219241:22G:Y116A8A.150:WAGO	Y116A8A.150	2	8	7	1	C1	1	0	Control
22G	Gene:WBGene00219241:22G:Y116A8A.150:WAGO	Y116A8A.150	2	18	1	1	C1	1	0	Control
22G	Gene:WBGene00219304:22G:F56D6.16:WAGO	F56D6.16	2	2	1	1	C1	0	1	Control
22G	Gene:WBGene00219304:22G:F56D6.16:WAGO	F56D6.16	2	12	1	1	C1	0	1	Control
22G	Gene:WBGene00219304:22G:F56D6.16:WAGO	F56D6.16	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00219304:22G:F56D6.16:WAGO	F56D6.16	1	20	1	0	C1	0	1	Control
22G	Gene:WBGene00219307:22G:F56D6.17:ERGO, WAGO	F56D6.17	2	16	1	1	C1	0	1	Control
22G	Gene:WBGene00235148:22G:Y60A3A.30:WAGO	Y60A3A.30	2	10	3	1	C1	1	0	Control
22G	Gene:WBGene00235148:22G:Y60A3A.30:WAGO	Y60A3A.30	1	18	3	0	C1	1	0	Control
22G	Gene:WBGene00000022:22G:abt-4, Y39D8C.1:WAGO	abt-4, Y39D8C.1	2	4	3	1	C2	0	1	Control
22G	Gene:WBGene00000034:22G:abu-11, T01D1.6:WAGO	abu-11, T01D1.6	2	4	5	1	C2	0	1	Control
22G	Gene:WBGene00000040:22G:aco-1, ZK455.1:CSR	aco-1, ZK455.1	2	18	1	1	C2	0	1	Control
22G	Gene:WBGene00000075:22G:adm-4, ZK154.7:WAGO	adm-4, ZK154.7	2	12	1	1	C2	1	0	Control
22G	Gene:WBGene00000075:22G:adm-4, ZK154.7:WAGO	adm-4, ZK154.7	2	16	1	1	C2	1	0	Control
22G	Gene:WBGene00000075:22G:adm-4, ZK154.7:WAGO	adm-4, ZK154.7	1	20	1	0	C2	1	0	Control
22G	Gene:WBGene00000094:22G:agt-2, F09E5.13:CSR	agt-2, F09E5.13	2	8	3	1	C2	1	0	Control
22G	Gene:WBGene00000094:22G:agt-2, F09E5.13:CSR	agt-2, F09E5.13	2	16	1	1	C2	1	0	Control
22G	Gene:WBGene00000107:22G:alh-1, F54D8.3:CSR	alh-1, F54D8.3	2	14	1	1	C2	1	0	Control
22G	Gene:WBGene00000137:22G:amx-1, R13G10.2:CSR	amx-1, R13G10.2	2	4	3	1	C2	1	0	Control
22G	Gene:WBGene00000137:22G:amx-1, R13G10.2:CSR	amx-1, R13G10.2	2	8	1	1	C2	0	1	Control
22G	Gene:WBGene00000145:22G:apc-11, F35G12.9:CSR	apc-11, F35G12.9	2	8	1	1	C2	1	0	Control
22G	Gene:WBGene00000161:22G:apa-2, T20B5.1:CSR	apa-2, T20B5.1	1	20	1	0	C2	1	0	Control
22G	Gene:WBGene00000177:22G:aqp-9, K07A1.16:WAGO	aqp-9, K07A1.16	2	18	1	1	C2	1	0	Control
22G	Gene:WBGene00000178:22G:aqp-10, ZK1321.3:WAGO	aqp-10, ZK1321.3	2	8	1	1	C2	1	0	Control
22G	Gene:WBGene00000178:22G:aqp-10, ZK1321.3:WAGO	aqp-10, ZK1321.3	2	14	1	1	C2	1	0	Control
22G	Gene:WBGene00000189:22G:arl-5, ZK632.8:CSR	arl-5, ZK632.8	2	2	1	1	C2	1	0	Control
22G	Gene:WBGene00000189:22G:arl-5, ZK632.8:CSR	arl-5, ZK632.8	2	16	1	1	C2	1	0	Control
22G	Gene:WBGene00000195:22G:arr-1, F53H8.2:CSR	arr-1, F53H8.2	2	10	1	1	C2	1	0	Control
22G	Gene:WBGene00000195:22G:arr-1, F53H8.2:CSR	arr-1, F53H8.2	1	16	5	0	C2	1	0	Control
22G	Gene:WBGene00000205:22G:arx-7, M01B12.3:CSR	arx-7, M01B12.3	2	8	1	1	C2	1	0	Control
22G	Gene:WBGene00000206:22G:asb-1, F35G12.10:CSR	asb-1, F35G12.10	2	10	1	1	C2	1	0	Control
22G	Gene:WBGene00000206:22G:asb-1, F35G12.10:CSR	asb-1, F35G12.10	2	14	1	1	C2	1	0	Control
22G	Gene:WBGene00000214:22G:asp-1, Y39B6A.20:CSR	asp-1, Y39B6A.20	2	4	3	1	C2	1	0	Control
22G	Gene:WBGene00000222:22G:atf-6, F45E6.2:WAGO	atf-6, F45E6.2	2	10	3	1	C2	1	0	Control
22G	Gene:WBGene00000222:22G:atf-6, F45E6.2:WAGO	atf-6, F45E6.2	2	18	1	1	C2	1	0	Control
22G	Gene:WBGene00000237:22G:bam-2, Y71F9AR.1:WAGO	bam-2, Y71F9AR.1	2	2	5	1	C2	0	1	Control
22G	Gene:WBGene00000237:22G:bam-2, Y71F9AR.1:WAGO	bam-2, Y71F9AR.1	2	14	1	1	C2	1	0	Control
22G	Gene:WBGene00000270:22G:bre-5, T12G3.8:WAGO	bre-5, T12G3.8	2	8	1	1	C2	1	0	Control
22G	Gene:WBGene00000270:22G:bre-5, T12G3.8:WAGO	bre-5, T12G3.8	1	20	1	0	C2	1	0	Control
22G	Gene:WBGene00000368:22G:ccb-1, T28F2.5:WAGO	ccb-1, T28F2.5	2	8	1	1	C2	1	0	Control
22G	Gene:WBGene00000368:22G:ccb-1, T28F2.5:WAGO	ccb-1, T28F2.5	1	20	1	0	C2	1	0	Control
