V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20
0,641528493	1,206842613	12,6741747	8,016958404	33,17428922	9,616644012	17,35822519	10,03105432	3,712878102	67,97974568	5,449367703	1,647070594	3,336149955	12,05810265	3,595878489	14,65874384	0	29,04572113	4,066106793	0
5,77375644	10,86158352	6,337087348	6,012718803	25,08299917	13,46330162	21,69778149	8,359211931	4,641097628	36,60447844	2,724683851	5,490235315	5,004224933	18,48909074	2,397252326	10,99405788	5,724531145	11,44225378	27,78506308	4,614667213
7,056813427	8,447898291	7,604504817	11,02331781	33,98341823	26,92660323	60,75378817	15,04658148	50,12385438	52,29211206	9,082279504	17,56875301	7,5063374	7,234861593	2,397252326	3,664685961	22,89812458	20,24398745	24,39664076	1,845866885
0,641528493	1,206842613	1,26741747	0	29,1286442	1,923328802	0	3,343684772	4,641097628	15,68763362	2,724683851	3,294141189	3,336149955	5,627114572	2,397252326	3,664685961	5,724531145	7,921560307	11,52063591	3,69173377
0	6,034213065	0	16,03391681	12,94606409	2,884993203	8,679112596	4,179605965	8,35397573	13,07302801	3,632911802	2,745117657	5,004224933	3,215494041	4,794504653	5,497028941	5,724531145	2,640520102	2,033053396	0,922933443
2,566113973	4,827370452	5,069669878	7,014838604	8,091290054	0	4,339556298	0,835921193	4,641097628	57,52132327	2,724683851	6,039258846	0	4,823241062	2,397252326	7,329371921	5,724531145	23,76468092	15,58674271	2,768800328
0	2,413685226	1,26741747	6,012718803	31,55603121	6,731650808	4,339556298	4,179605965	4,641097628	54,90671766	0	4,941211783	5,838262422	6,430988083	0	11,91022937	0	29,92589449	18,29748057	0
2,566113973	14,48211136	13,94159216	14,02967721	12,94606409	6,731650808	17,35822519	2,507763579	8,35397573	23,53145043	0	8,235352972	14,17863731	10,45035563	1,198626163	8,245543411	57,24531145	39,60780153	8,132213586	0,922933443
1,92458548	6,034213065	7,604504817	14,02967721	27,51038619	9,616644012	8,679112596	3,343684772	6,497536679	23,53145043	2,724683851	4,392188252	5,004224933	10,45035563	0	7,329371921	17,17359344	38,72762817	9,487582517	2,768800328
8,339870413	39,82580623	22,81351445	72,15262564	84,95854557	54,81487087	52,07467558	41,79605965	39,9134396	78,43816809	25,43038261	21,41191773	51,71032431	62,70213381	15,58214012	109,0244073	74,41890489	82,73629654	39,305699	22,15040262
