C1										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11
3,519457562	31,14226117	36,47368886	31,56145445	13,02412106	62,32450336	68,5993614	15,13922222	16,04970689	43,2883133	47,33879312
7,918779515	18,1059658	17,60798772	18,62643213	8,954083232	32,55757638	80,65060056	17,11390338	22,9281527	29,46010211	14,99061782
14,95769464	14,48477264	6,917423749	15,00462588	8,954083232	10,23238115	54,69408544	15,13922222	15,28543514	15,03066434	11,83469828
23,75633854	50,69670424	33,95826204	41,9094723	48,84045399	39,99930813	113,0962445	23,69617391	34,39222905	33,66868812	31,55919541
6,159050734	10,86357948	10,06170727	21,2134366	6,512060532	11,16259762	106,6071157	15,13922222	19,10679392	6,012265736	11,04571839
24,63620294	37,66040886	32,07169193	52,25749015	52,91049183	37,20865872	73,23445338	21,72149275	64,96309932	30,66255525	38,66001438
35,19457562	26,79682938	45,90653942	60,01850354	56,16652209	52,09212221	59,32917742	38,83539614	31,33514203	44,49076645	29,98123564
260,4398596	220,1685441	230,7904105	251,4568338	167,6855587	291,1577545	165,9362931	171,7972609	154,3828949	213,4354336	202,7678305
190,0507084	167,299124	124,5136275	166,6030874	83,84277935	208,3684888	124,2204652	113,2150531	86,36270851	150,3066434	123,0808621
37,83416879	26,79682938	25,78312488	32,07885534	22,79221186	23,2554117	25,02949673	21,72149275	22,16388095	18,03679721	13,41265805
64,23010051	34,0392157	27,669695	33,63105802	33,37431023	34,41800932	54,69408544	40,81007729	47,38484892	22,24538322	26,8253161
58,07104978	34,76345433	38,36025897	40,35726962	26,04824213	33,48779285	32,4456439	35,54426087	35,92077257	22,8466098	20,51347702
41,35362636	42,00584065	59,11253022	36,21806248	35,00232536	41,85974106	35,2266991	40,81007729	55,02756649	30,66255525	35,50409484
22,87647415	15,20901127	127,657911	23,80044106	13,83812863	40,9295246	38,93477268	34,88603382	12,22834811	34,2699147	31,55919541
11,43823708	15,20901127	9,432850567	18,62643213	4,884045399	10,23238115	25,95651512	8,556951691	8,406989324	9,619625178	7,100818968
21,11674537	23,17563622	25,15426818	24,83524284	4,884045399	14,88346349	41,71582788	11,1898599	12,99261986	18,03679721	6,311839083
5,279186343	11,58781811	1,886570113	5,691409818	0,814007567	6,511515276	14,83229436	10,53163285	5,349902297	5,411039163	3,944899427
0,879864391	5,069670424	4,401996931	2,06960357	6,512060532	6,511515276	11,12422077	1,974681159	4,585630541	2,404906294	2,366939656
0	0,724238632	0,628856704	3,104405355	0,814007567	9,302164681	5,562110384	0	1,528543514	2,404906294	3,944899427
0	7,242386319	2,515426818	3,621806248	0	5,581298808	2,781055192	1,974681159	6,878445811	1,803679721	3,155919541
3,519457562	4,345431792	1,886570113	4,139207141	0	0,930216468	1,854036795	0,658227053	0,764271757	3,006132868	1,577959771
0	2,172715896	0,628856704	1,034801785	0,814007567	0	1,854036795	1,316454106	1,528543514	0,601226574	0
0,879864391	0	0,628856704	0	0	0	0	0,658227053	0	0,601226574	0,788979885
										
C2										
V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	
3,119871127	7,864294037	27,30906768	5,273348114	11,99001445	3,447223117	4,766827641	9,860960067	3,340598302	14,23290355	
0,779967782	1,572858807	26,00863588	0	1,998335742	4,309028897	3,177885094	9,860960067	3,340598302	10,67467766	
3,119871127	12,58287046	15,60518153	5,273348114	23,98002891	8,618057793	7,150241461	18,07842679	6,681196605	8,89556472	
0	4,718576422	2,600863588	0	11,99001445	0,861805779	2,38341382	1,643493345	0,835149576	0	
0,779967782	0	3,901295383	3,515565409	15,98668594	2,585417338	2,38341382	8,217466723	0,835149576	1,779112944	
0	6,29143523	14,30474974	19,33560975	17,98502168	2,585417338	2,38341382	1,643493345	3,340598302	0	
0	20,4471645	23,4077723	14,06226164	19,98335742	0	2,38341382	11,50445341	2,505448727	19,57024238	
0	12,58287046	9,10302256	10,54669623	15,98668594	9,479863573	8,739184008	13,14794676	1,670299151	3,558225888	
1,559935564	6,29143523	11,70388615	0	1,998335742	0,861805779	5,561298914	9,860960067	2,505448727	8,89556472	
11,69951673	59,76863468	37,71252203	110,7403104	23,98002891	33,61042539	35,75120731	44,3743203	16,70299151	19,57024238	
2,339903346	44,04004661	40,31338562	65,03796007	27,97670039	9,479863573	19,06731056	26,29589351	8,351495756	14,23290355	
14,03942007	12,58287046	54,61813536	89,64691794	27,97670039	9,479863573	61,96875933	21,36541348	17,53814109	30,24492005	
15,59935564	48,75862303	97,53238457	87,88913523	41,96505058	32,74861961	135,8545878	34,51336024	28,39508557	51,59427538	
7,799677819	40,89432899	130,0431794	112,4980931	63,94674375	38,78126007	65,14664442	39,44384027	27,559936	72,9436307	
11,69951673	69,20578753	62,42072612	184,567184	63,94674375	40,50487163	92,95313899	31,22637355	30,06538472	51,59427538	
50,69790582	119,5372694	249,6829045	216,2072727	163,8635309	88,76599527	175,5781514	128,1924809	58,46047029	126,317019	
21,05913011	97,51724606	107,9358389	451,7501551	81,93176543	55,15556988	125,5264612	47,66130699	33,40598302	135,2125837	
56,15768029	206,0445038	232,7772912	625,7706429	131,890159	99,10766462	314,6106243	216,9411215	72,65801308	190,365085	
23,39903346	116,3915518	153,4509517	256,6362749	67,94341523	46,53751208	96,13102409	78,88768054	33,40598302	149,4454873	
14,81938786	44,04004661	111,8371343	237,3006651	59,95007226	51,70834676	78,65265607	87,10514726	25,05448727	103,1885508	
14,03942007	114,8186929	176,858724	175,7782705	161,8651951	62,05001611	85,80289753	85,46165392	41,75747878	128,096132	
17,93925898	58,19577588	80,62677124	52,73348114	49,95839355	25,85417338	53,22957532	37,80034693	24,21933769	74,72274365	
