V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
0,879864391	6,518147687	5,65971034	10,34801785	0,814007567	4,65108234	28,73757031	1,974681159	2,29281527	1,803679721	11,83469828	3,119871127	7,864294037	27,30906768	5,273348114	11,99001445	3,447223117	4,766827641	9,860960067	3,340598302	14,23290355
0,879864391	13,76053401	5,65971034	10,34801785	6,512060532	7,441731745	86,21271094	3,291135266	5,349902297	3,006132868	15,77959771	0,779967782	1,572858807	26,00863588	0	1,998335742	4,309028897	3,177885094	9,860960067	3,340598302	10,67467766
3,519457562	15,20901127	10,69056398	7,761013389	0,814007567	21,39497877	35,2266991	5,924043478	4,585630541	10,22085175	17,35755748	3,119871127	12,58287046	15,60518153	5,273348114	23,98002891	8,618057793	7,150241461	18,07842679	6,681196605	8,89556472
1,759728781	5,069670424	2,515426818	3,104405355	2,4420227	3,720865872	10,19720237	3,291135266	5,349902297	3,006132868	0,788979885	0	4,718576422	2,600863588	0	11,99001445	0,861805779	2,38341382	1,643493345	0,835149576	0
4,399321953	7,966624951	1,886570113	3,621806248	0	3,720865872	12,05123916	0	6,114174054	1,803679721	3,155919541	0,779967782	0	3,901295383	3,515565409	15,98668594	2,585417338	2,38341382	8,217466723	0,835149576	1,779112944
0	10,86357948	3,144283522	3,621806248	0,814007567	2,790649404	3,708073589	4,607589372	6,878445811	3,607359442	1,577959771	0	6,29143523	14,30474974	19,33560975	17,98502168	2,585417338	2,38341382	1,643493345	3,340598302	0
0,879864391	6,518147687	5,030853636	6,208810711	7,326068099	4,65108234	13,90527596	3,291135266	4,585630541	3,006132868	3,155919541	0	20,4471645	23,4077723	14,06226164	19,98335742	0	2,38341382	11,50445341	2,505448727	19,57024238
7,918779515	7,242386319	6,288567044	13,45242321	3,256030266	12,09281408	14,83229436	1,974681159	7,642717568	5,411039163	0,788979885	0	12,58287046	9,10302256	10,54669623	15,98668594	9,479863573	8,739184008	13,14794676	1,670299151	3,558225888
0	2,896954528	3,144283522	3,104405355	1,628015133	6,511515276	8,343165575	5,924043478	5,349902297	4,208586015	0,788979885	1,559935564	6,29143523	11,70388615	0	1,998335742	0,861805779	5,561298914	9,860960067	2,505448727	8,89556472
11,43823708	16,65748853	26,41198159	30,52665266	25,23423456	41,85974106	32,4456439	43,44298551	35,92077257	35,47236784	30,77021553	11,69951673	59,76863468	37,71252203	110,7403104	23,98002891	33,61042539	35,75120731	44,3743203	16,70299151	19,57024238
7,038915124	33,31497707	17,60798772	14,48722499	7,326068099	16,74389643	27,81055192	15,79744928	13,75689162	12,62575805	10,25673851	2,339903346	44,04004661	40,31338562	65,03796007	27,97670039	9,479863573	19,06731056	26,29589351	8,351495756	14,23290355
4,399321953	26,07259075	16,35027432	21,2134366	15,46614376	22,32519523	70,45339819	18,43035749	6,114174054	5,411039163	9,467758624	14,03942007	12,58287046	54,61813536	89,64691794	27,97670039	9,479863573	61,96875933	21,36541348	17,53814109	30,24492005
8,798643905	54,31789739	38,98911568	35,1832607	24,420227	47,44103987	91,77482133	42,1265314	31,33514203	30,66255525	25,24735633	15,59935564	48,75862303	97,53238457	87,88913523	41,96505058	32,74861961	135,8545878	34,51336024	28,39508557	51,59427538
17,59728781	34,0392157	35,84483215	48,6356839	10,58209837	48,37125634	71,38041659	41,46830435	20,63533743	16,83434406	11,04571839	7,799677819	40,89432899	130,0431794	112,4980931	63,94674375	38,78126007	65,14664442	39,44384027	27,559936	72,9436307
12,31810147	23,17563622	27,669695	28,97444998	13,02412106	53,02233868	87,13972934	42,78475845	19,87106568	23,44783637	46,54981323	11,69951673	69,20578753	62,42072612	184,567184	63,94674375	40,50487163	92,95313899	31,22637355	30,06538472	51,59427538
21,11674537	99,94493121	96,21507578	85,88854817	38,25835563	124,6490067	127,0015204	72,40497585	64,19882757	72,14718883	124,6588219	50,69790582	119,5372694	249,6829045	216,2072727	163,8635309	88,76599527	175,5781514	128,1924809	58,46047029	126,317019
34,31471123	49,24822697	60,37024363	57,43149908	25,23423456	63,25471983	108,4611525	53,97461836	46,62057716	27,65642239	53,6506322	21,05913011	97,51724606	107,9358389	451,7501551	81,93176543	55,15556988	125,5264612	47,66130699	33,40598302	135,2125837
80,06765954	94,87526078	100,6170727	161,4290785	77,33071882	157,2065831	235,4626729	91,49356039	235,3957011	88,38030632	120,7139225	56,15768029	206,0445038	232,7772912	625,7706429	131,890159	99,10766462	314,6106243	216,9411215	72,65801308	190,365085
32,55498245	36,93617023	61,62795703	43,46167498	37,44434806	79,06839979	122,3664284	64,50625121	62,67028405	34,87114127	35,50409484	23,39903346	116,3915518	153,4509517	256,6362749	67,94341523	46,53751208	96,13102409	78,88768054	33,40598302	149,4454873
26,39593172	31,8664998	46,53539613	60,01850354	61,05056749	71,62666804	96,40991331	40,15185024	49,67766419	34,2699147	54,43961209	14,81938786	44,04004661	111,8371343	237,3006651	59,95007226	51,70834676	78,65265607	87,10514726	25,05448727	103,1885508
29,91538928	52,1451815	53,45281988	238,0044106	33,37431023	75,34753391	102,8990421	61,873343	55,79183824	49,30057904	44,18287358	14,03942007	114,8186929	176,858724	175,7782705	161,8651951	62,05001611	85,80289753	85,46165392	41,75747878	128,096132
42,23349075	26,79682938	35,21597545	42,94427408	26,04824213	55,81298808	63,03725101	29,62021739	56,55611	30,66255525	30,77021553	17,93925898	58,19577588	80,62677124	52,73348114	49,95839355	25,85417338	53,22957532	37,80034693	24,21933769	74,72274365
25,51606733	55,76637466	46,53539613	76,05793121	57,79453722	79,06839979	42,64284627	53,97461836	61,9060123	37,87727414	44,97185346	29,63877571	58,19577588	226,2751322	152,9270953	115,903473	43,09028897	58,79087424	83,81816057	33,40598302	71,16451776
49,27240587	50,69670424	59,11253022	89,51035442	25,23423456	61,39428689	43,56986467	53,3163913	55,02756649	43,88953987	41,81593392	32,75864684	105,3815401	84,52806663	110,7403104	89,9251084	29,3013965	64,35217315	70,67021382	58,46047029	108,5258896
29,03552489	55,04213603	50,93739306	72,43612496	38,25835563	51,16190574	63,96426941	41,46830435	50,44193595	57,71775107	65,48533048	35,87851797	80,21579918	80,62677124	45,70235032	141,8818377	62,05001611	78,65265607	98,60960067	56,79017114	30,24492005
