V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
0,776626975	1,67219296	181,3824708	20,50322721	15,18748485	9,176078513	11,83161285	3,691437282	4,532004469	1,555844104	31,12706957	17,54431604	3,280010242	18,70287625	11,1169266	27,30390013	13,47232301	170,7071363	4,524465882	4,85590519	3,5211288
0,776626975	0	22,3377427	31,78000218	43,66401894	3,277170897	25,3534561	0,738287456	5,438405362	1,555844104	18,67624174	38,98736898	7,216022533	9,351438126	16,05778287	39,51880281	18,65398571	152,2523107	8,294854116	5,827086228	3,5211288
6,989642775	3,344385919	15,18966504	44,08193851	49,35932576	17,04128867	37,18506894	1,476574913	7,25120715	3,111688207	62,25413915	23,39242139	6,560020485	14,02715719	34,58599388	17,96309219	31,08997619	84,58461706	7,540776469	5,827086228	4,694838401
1,941567438	3,344385919	9,82860679	14,35225905	9,492178031	5,243473436	1,690230406	0,738287456	1,812801787	0	0	13,64557914	3,936012291	10,52036789	9,881712538	5,029665813	6,217995237	67,66769365	1,508155294	1,942362076	2,934274
1,164940463	0	8,041587374	18,45290449	3,796871212	5,898907615	8,451152032	1,476574913	0,906400894	0,777922052	6,225413915	4,873421122	5,248016388	5,844648829	11,1169266	7,185236875	5,181662698	23,06853193	3,016310588	1,942362076	0
2,718194413	4,180482399	8,935097082	8,201290886	13,28904924	5,898907615	5,070691219	2,953149825	0	0,777922052	6,225413915	12,67089492	1,968006145	3,506789297	4,940856269	7,903760563	10,3633254	36,90965108	0	4,85590519	0
0,776626975	2,508289439	29,48582037	22,55354994	28,47653409	5,243473436	6,760921626	0,738287456	5,438405362	4,667532311	24,90165566	21,44305294	6,560020485	8,18250836	24,70428134	10,77785531	7,254327777	58,44028088	1,508155294	7,769448304	1,7605644
2,329880925	3,344385919	14,29615533	34,85548626	36,07027652	17,04128867	11,83161285	0	8,157608043	7,779220518	28,01436262	17,54431604	11,80803687	9,351438126	33,35077981	16,52604481	7,254327777	89,19832345	2,262232941	10,68299142	8,802822001
4,65976185	15,88583312	33,0598592	51,25806803	13,28904924	13,10868359	6,760921626	1,476574913	5,438405362	1,555844104	24,90165566	16,56963182	5,904018436	15,19608695	14,82256881	11,496379	3,108997619	52,28867237	6,032621175	1,942362076	5,281693201
14,75591253	19,23021904	227,8449756	70,73613389	140,4842349	48,50212928	87,89198114	11,07431184	32,63043217	15,55844104	96,49391568	34,11394786	18,36805736	40,9125418	130,9326911	51,7337055	39,3806365	110,7289532	15,08155294	69,92503473	14,0845152
6,601329288	6,688771839	65,2262087	134,2961383	55,05463258	51,123866	38,87529935	7,382874563	17,22161698	7,779220518	49,80331132	67,25321149	15,74404916	32,73003344	72,87762997	58,20041869	42,48963412	366,0207066	16,58970823	11,65417246	14,67137
11,64940463	7,524868318	377,0610969	106,6167815	91,1249091	24,25106464	57,46783382	5,906299651	13,59601341	10,89090873	18,67624174	55,5570008	15,74404916	39,74361204	61,76070336	25,86685275	42,48963412	149,1765065	12,81932	24,27952595	7,042257601
18,6390474	4,180482399	74,16130578	107,6419429	93,0233447	55,71190525	152,1207366	9,597736932	33,53683307	23,33766155	80,93038089	102,3418436	28,86409013	58,44648829	121,0509786	53,88927656	74,61594285	246,0643405	39,96611529	41,76078463	24,0610468
5,824702313	8,360964798	411,9079755	233,7367902	170,8592046	95,03795602	125,0770501	11,8125993	20,84722056	14,00259693	52,91601828	140,3545283	33,45610447	52,60183946	109,934052	111,3711716	68,39794761	609,0092428	33,17941647	32,04897425	42,25354561
17,47410694	22,57460496	464,6250483	132,2458155	115,804572	38,67061659	84,51152032	15,50403658	29,91122949	19,4480513	112,0574505	71,15194839	20,3360635	46,75719063	67,9367737	52,45222919	48,70762936	222,9958086	12,06524235	61,18440539	28,1690304
34,1715869	45,14920991	282,3490678	443,8948692	537,2572766	226,1247919	229,8713353	21,41033623	74,32487329	75,45843903	233,4530218	211,5064767	83,96826221	182,3530435	240,8667431	195,438443	169,9585365	961,1888302	49,01504705	121,3976297	85,09394601
13,97928555	31,77166623	716,594786	164,0258177	182,2498182	59,64451033	120,0063589	20,67204878	54,38405362	38,11818054	96,49391568	73,10131684	33,45610447	63,12220735	96,34669724	61,79303713	74,61594285	284,5118938	38,45795999	67,98267266	26,9953208
31,065079	65,21552543	1887,986013	343,4290558	637,8743637	100,9368636	329,5949293	70,13730835	112,3937108	68,45714056	435,778974	144,2532652	59,69618641	143,7783612	240,8667431	163,8234008	212,4481706	421,3851832	57,30990117	307,864389	62,20660881
14,75591253	76,08477966	612,9476598	223,4851766	182,2498182	112,0792447	87,89198114	22,88691115	77,95047686	36,56233644	136,9591061	94,54436978	53,79216798	80,65615384	93,87626911	81,19317669	82,90660317	347,565881	39,21203764	91,29101757	36,3849976
12,4260316	49,32969231	362,7649415	222,4600153	242,9997576	98,9705611	77,7505987	10,33602439	57,1032563	22,5597395	161,8607618	86,74689598	35,42411062	74,81150501	118,5805505	168,8530666	84,97926825	476,7496598	27,90087294	104,8875521	46,36152921
13,20265858	60,19894655	2382,096882	395,7122852	400,5699129	142,2292169	108,174746	18,45718641	60,72885988	19,4480513	168,0861757	159,8482128	57,07217822	91,17652173	156,8721865	189,6902535	95,34259364	779,7163791	43,73650352	67,98267266	63,96717321
14,36759904	19,23021904	815,7743636	85,08839294	117,7030076	49,81299764	60,84829463	14,02746167	29,0048286	24,11558361	87,15579481	41,91142165	22,30406965	39,74361204	102,5227676	61,79303713	46,63496428	189,1619618	18,09786353	68,9538537	15,2582248
17,47410694	41,80482399	610,2671307	259,3658243	332,2262311	144,8509537	69,29944667	12,55088676	57,1032563	53,67662158	108,9447435	138,4051599	43,95213725	101,6968896	130,9326911	150,8899744	89,1245984	859,6872898	55,80174587	64,09794851	67,48830201
36,11315434	25,91899087	663,8777132	153,7742041	180,3513826	158,6150714	202,8276488	10,33602439	35,34963486	34,22857028	199,2132453	136,4557914	45,26414135	129,751204	160,5778287	397,3435992	112,9602468	1667,085907	43,73650352	87,40629342	46,36152921
27,18194413	7,524868318	98,2860679	75,86194069	199,3357387	60,95537869	98,03336358	8,859449476	66,16726524	28,00519387	158,7480548	79,92410641	31,48809833	101,6968896	109,934052	86,2228425	115,0329119	298,3530129	59,57213411	79,63684511	19,3662084
78,05101099	35,95214863	230,5255047	271,6677606	495,4916932	205,8063324	162,262119	32,48464808	247,447444	161,0298647	357,9613001	189,0887396	70,19221919	220,9277257	438,5009939	142,9862138	241,4654817	287,587698	85,96485175	209,7751042	68,66201161
38,83134875	22,57460496	121,5173203	108,6671042	267,6794205	97,00425856	96,34313317	13,28917421	119,644918	56,78830978	189,8751244	105,2658962	59,69618641	118,0619063	228,5146024	71,85236875	172,0312016	95,34993196	52,03135764	108,7722763	32,277014
6,2130158	6,688771839	113,4757329	36,90580899	68,34368182	19,66302538	40,56552976	0,738287456	20,84722056	14,78051898	37,35248349	20,46836871	16,40005121	30,39217391	30,88035168	12,93342638	24,87198095	35,37174895	6,032621175	26,22188802	17,0187892
4,271448363	6,688771839	73,26779607	11,27677497	15,18748485	21,62932792	35,49483854	1,476574913	12,68961251	8,55714257	28,01436262	14,62026337	11,15203482	18,70287625	33,35077981	13,65195006	22,79931587	41,52335747	5,278543529	24,27952595	8,802822001
9,3195237	10,03315776	88,45746111	26,65419538	24,67966288	20,97389374	37,18506894	6,644587107	19,03441877	18,67012924	40,46519045	28,26584251	17,71205531	19,87180602	28,40992355	40,95585019	40,41696904	79,97091068	6,786698822	27,19306906	11,737096
290,0701752	224,9099531	910,4863926	1083,595558	2116,755701	908,4317727	872,1588897	121,8174303	1181,946765	346,1753131	1578,142427	812,8866432	485,4415159	1060,219298	1693,478486	640,9231293	1204,218411	490,590779	314,4503788	1484,935807	301,6433672
15,5325395	24,24679792	229,631995	87,13871566	134,788928	72,09775974	92,96267236	21,41033623	72,5120715	38,11818054	124,5082783	71,15194839	33,45610447	94,68331103	134,6383333	67,54122663	105,705919	359,869098	22,62232941	106,8299142	26,9953208
17,08579345	41,80482399	159,9382378	95,34000654	112,0077008	71,44232556	50,70691219	24,36348606	90,64008937	37,34025849	180,5370035	84,79752753	41,32812906	95,85224079	143,2848318	66,10417925	109,8512492	87,66042132	36,19572705	102,94519	39,90612641
21,35724181	24,24679792	243,0346406	103,5412974	113,9061364	52,43473436	72,67990748	8,121162019	54,38405362	48,23116721	84,04308785	27,29115829	23,61607375	50,26397993	150,6961162	51,01518181	59,07095476	259,9054597	25,63864	39,81842256	30,5164496
12,03771811	10,86925424	293,964694	106,6167815	102,5155227	41,29235331	96,34313317	2,953149825	36,25603575	21,78181745	121,3955713	82,84815908	14,43204507	32,73003344	55,58463302	73,28941613	76,68860793	335,262664	9,048931763	37,87606048	23,474192
18,6390474	42,64092047	321,6634949	179,4032381	159,4685909	85,86187751	256,9150218	9,597736932	25,37922502	25,67142771	180,5370035	90,64563288	27,55208604	67,79792641	127,2270489	127,1786927	209,339173	822,7776387	34,68757176	62,15558643	22,3004824
53,58726128	63,54333247	833,6445577	347,5297013	216,4216591	173,6900576	535,8030389	28,05492334	207,5658047	166,4753191	479,3568714	277,785004	103,6483237	251,3198996	235,9258868	280,9427618	373,0797142	1171,881422	157,6022282	179,668492	146,1268452
32,61833295	32,60776271	453,9029318	297,2967946	218,3200947	108,8020738	610,1731767	5,906299651	42,600842	38,11818054	376,6375418	149,1266863	45,92014339	106,3726087	161,8130428	174,6012561	189,6488547	1185,722541	53,53951293	69,92503473	35,7981428
31,065079	35,95214863	354,7233541	314,7245377	151,8748485	101,5922978	353,258155	5,906299651	32,63043217	29,56103797	239,6784357	148,1520021	32,14410038	94,68331103	140,8144037	117,1193611	141,9775579	985,7952643	35,44164941	59,24204332	33,4507236
21,35724181	10,86925424	109,0081844	336,2529263	180,3513826	79,30753572	231,5615657	4,429724738	8,157608043	26,44934976	202,3259522	140,3545283	34,76810857	72,47364548	117,3453364	124,3045979	97,41525872	1050,387154	29,40902823	33,99133633	22,8873372
