WB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Dif.exp	delabel
wrt-3	326,35192	0,178583793	0,151549519	1,178385748	0,238642857	0,884116799	NO	
B0432.10	758,0275713	0,19140928	0,16244378	1,178310924	0,238672674	0,884116799	NO	
K09D9.3	1,903561701	1,190787849	1,010621552	1,178272763	0,238687883	0,884116799	NO	
B0261.5	768,5496362	-0,56114565	0,476253632	-1,178249595	0,238697116	0,884116799	NO	
eif-3.J	2525,108771	-0,191435901	0,162493979	-1,178110737	0,238752462	0,884116799	NO	
srv-1	379,7380503	0,213675929	0,181391968	1,177979003	0,238804977	0,884116799	NO	
snpn-1	1069,689885	0,170055047	0,144384438	1,177793457	0,238878958	0,884116799	NO	
K02F3.12	1774,949124	-0,197913854	0,168039878	-1,177779089	0,238884687	0,884116799	NO	
eat-20	3509,209282	-0,330215614	0,280408616	-1,177622924	0,238946967	0,884116799	NO	
T08G11.4	1724,941622	-0,165310055	0,140389685	-1,177508557	0,238992584	0,884116799	NO	
T28A11.24	0,450349783	1,902248698	1,615529805	1,177476697	0,239005293	0,884116799	NO	
F49D11.2	54,28691776	0,1897785	0,161196886	1,177308721	0,239072307	0,884116799	NO	
srbc-66	0,855133398	-1,546720051	1,314010265	-1,17709891	0,23915603	0,884116799	NO	
C09F9.2	12988,378	-0,33971051	0,288612815	-1,177045831	0,239177214	0,884116799	NO	
F26D11.18	7,956111542	-0,418508634	0,355640382	-1,176774783	0,23928541	0,884116799	NO	
htp-1	458,96202	0,237963398	0,202223364	1,176735436	0,239301119	0,884116799	NO	
twk-6	13,2330061	0,353668244	0,300563674	1,176683261	0,239321951	0,884116799	NO	
twk-16	99,00958452	-0,207062943	0,175987544	-1,176577262	0,239364278	0,884116799	NO	
atg-4.2	1082,343468	-0,152918366	0,129974313	-1,176527601	0,23938411	0,884116799	NO	
gpx-8	75,90852537	-0,23325374	0,198283243	-1,176366375	0,239448503	0,884116799	NO	
M04F3.7	306,0356973	0,251757177	0,214036237	1,176236233	0,239500489	0,884116799	NO	
gtf-2H5	1375,850657	0,245932966	0,209095205	1,176176977	0,239524163	0,884116799	NO	
dgn-1	5776,652774	-0,290647994	0,247118835	-1,176146667	0,239536272	0,884116799	NO	
B0205.8	1622,56175	0,180796951	0,153723334	1,176119113	0,239547281	0,884116799	NO	
Y55F3AM.21	33,15798554	0,28767262	0,244606514	1,176062793	0,239569785	0,884116799	NO	
R07D5.3	0,661155776	-1,43153822	1,217263339	-1,176030012	0,239582883	0,884116799	NO	
math-42	201,0959806	-0,327419135	0,278412232	-1,176022812	0,239585761	0,884116799	NO	
swan-1	4851,080401	0,119615068	0,101713815	1,175996285	0,239596361	0,884116799	NO	
F49E10.13	0,513502955	-1,526679843	1,298307676	-1,175899882	0,239634886	0,884116799	NO	
R05C11.4	383,9372744	-0,198232373	0,16862607	-1,175573697	0,239765271	0,884116799	NO	
H08J11.3	2,451231562	-0,821493519	0,698827735	-1,175530789	0,239782427	0,884116799	NO	
F52D2.14	334,523837	0,272956166	0,232198661	1,1755286	0,239783302	0,884116799	NO	
fbxa-108	180,7235023	0,163068207	0,138719303	1,175526431	0,239784169	0,884116799	NO	
top-2	21834,39179	-0,33498965	0,284998208	-1,175409673	0,239830856	0,884116799	NO	
C41A3.7	0,718570395	-1,379087987	1,173288813	-1,175403678	0,239833253	0,884116799	NO	
ctsa-2	4907,480719	-0,474374823	0,403634026	-1,175259745	0,239890814	0,884116799	NO	
snf-7	40,95404344	0,232816239	0,198134482	1,1750415	0,239978113	0,884116799	NO	
spe-43	480,7223155	-0,154308509	0,131336849	-1,174906435	0,240032151	0,884116799	NO	
spe-11	1,464227142	-1,476655393	1,256831125	-1,174903584	0,240033291	0,884116799	NO	
pnk-4	764,1716744	-0,172287847	0,146655324	-1,174780719	0,240082456	0,884116799	NO	
sem-5	2256,904941	0,128204151	0,109156759	1,174495763	0,240196508	0,884116799	NO	
glb-28	47,39841171	0,265239444	0,225841874	1,174447587	0,240215794	0,884116799	NO	
adt-3	82,25831328	-0,313989693	0,267353746	-1,174435362	0,240220688	0,884116799	NO	
R160.8	0,786267682	1,287622691	1,096382211	1,174428661	0,240223371	0,884116799	NO	
C45B2.8	36,35052022	0,516710834	0,43998897	1,174372244	0,240245958	0,884116799	NO	
C36B1.9	815,5218731	-0,314743299	0,268031386	-1,174277771	0,240283784	0,884116799	NO	
R07E4.1	938,5127207	-0,300834834	0,25623883	-1,174040773	0,240378695	0,884116799	NO	
dgk-2	4314,117852	0,118232088	0,100714264	1,173935875	0,240420712	0,884116799	NO	
ZC239.14	1,079254266	1,303590794	1,110508814	1,17386803	0,24044789	0,884116799	NO	
T05D4.5	10,86901981	-0,512023462	0,436194663	-1,173841648	0,240458459	0,884116799	NO	
rpl-39	19067,30215	0,253866128	0,216327411	1,173527324	0,240584406	0,884116799	NO	
dpy-28	4082,420272	-0,31585351	0,269161116	-1,17347377	0,24060587	0,884116799	NO	
vps-8	839,5724766	-0,234297699	0,199667678	-1,173438292	0,240620089	0,884116799	NO	
T27E4.10	8,795644039	1,115346842	0,950647217	1,173249994	0,240695569	0,884116799	NO	
ric-3	3495,609038	-0,230041702	0,196080891	-1,173197962	0,240716429	0,884116799	NO	
rps-24	45463,58333	0,227455547	0,193898262	1,173066458	0,240769156	0,884116799	NO	
ZK105.3	7,903523881	-0,562442796	0,479487124	-1,173009176	0,240792126	0,884116799	NO	
srg-15	16,68088079	-0,321645314	0,274211108	-1,172984261	0,240802117	0,884116799	NO	
F23H11.4	1894,029132	-0,200488422	0,170949756	-1,172791505	0,240879425	0,884116799	NO	
nip-2	317,9067832	0,240385143	0,20497026	1,172780596	0,240883801	0,884116799	NO	
Y57G11C.1136	2,033236443	0,774526564	0,660423848	1,17277195	0,240887269	0,884116799	NO	
egrh-2	71,32828792	0,222979987	0,190135008	1,17274556	0,240897855	0,884116799	NO	
sodh-1	990,8886383	0,256668341	0,218863564	1,17273216	0,240903231	0,884116799	NO	
mec-17	3097,939194	0,192628849	0,164279514	1,172567682	0,240969216	0,884116799	NO	
frpr-13	175,3815966	-0,109247871	0,093176847	-1,172478728	0,241004908	0,884116799	NO	
nfyb-1	1144,335672	-0,158842396	0,135487225	-1,172379132	0,241044874	0,884116799	NO	
C46A5.14	19,72209067	-0,502127417	0,428312009	-1,172340272	0,241060469	0,884116799	NO	
dna-2	961,5402143	-0,221876641	0,189280901	-1,172208287	0,241113442	0,884116799	NO	
nhr-41	1492,695097	-0,359715222	0,306874687	-1,172189292	0,241121067	0,884116799	NO	
ZK813.3	0,722548849	1,88352318	1,606842499	1,172189049	0,241121164	0,884116799	NO	
F47B8.14	0,916144329	1,773023878	1,512640758	1,172138109	0,241141612	0,884116799	NO	
T20F7.3	5,816800756	0,672006721	0,573322758	1,172126365	0,241146326	0,884116799	NO	
Y54G2A.18	4046,730542	0,161808273	0,138055814	1,172049683	0,24117711	0,884116799	NO	
mup-4	8489,663289	-0,350864339	0,299380812	-1,171966688	0,241210431	0,884116799	NO	
C52G5.4	4,143940775	0,568148335	0,484788734	1,171950367	0,241216983	0,884116799	NO	
F47G3.1	127,5625472	-0,243451963	0,207750854	-1,171845785	0,241258977	0,884116799	NO	
col-51	5,675307464	-0,603730571	0,515274936	-1,171666869	0,241330829	0,884116799	NO	
clec-171	31,50701108	-0,284599213	0,242936889	-1,171494433	0,241400094	0,884116799	NO	
trpa-1	745,4599695	-0,280626119	0,239553295	-1,171455889	0,241415579	0,884116799	NO	
clec-43	29,62750665	-0,317516084	0,271051483	-1,171423525	0,241428581	0,884116799	NO	
T26H5.14	31,01726148	0,427924133	0,365317772	1,171375077	0,241448046	0,884116799	NO	
Y40D12A.1	569,719598	-0,207972409	0,177551996	-1,171332418	0,241465186	0,884116799	NO	
ZK863.8	458,1585244	0,262703103	0,224301383	1,171205898	0,241516025	0,884116799	NO	
taf-11.3	306,771136	0,200259292	0,170990743	1,171170373	0,241530301	0,884116799	NO	
ubc-9	6550,012032	0,161564896	0,137959304	1,171105473	0,241556384	0,884116799	NO	
hcp-1	5380,300311	-0,441657727	0,37714161	-1,17106603	0,241572237	0,884116799	NO	
mtm-1	1385,361695	-0,153010607	0,130669316	-1,170975806	0,241608502	0,884116799	NO	
zer-1	5110,585974	-0,249213477	0,212830941	-1,170945712	0,241620599	0,884116799	NO	
bath-10	1655,529322	0,149120774	0,127357838	1,170880221	0,241646926	0,884116799	NO	
zeel-1	938,4727768	-0,249540553	0,213143519	-1,170763038	0,241694039	0,884116799	NO	
pot-3	170,583129	0,200933009	0,17164365	1,170640506	0,241743308	0,884116799	NO	
B0207.5	54,6138233	-0,343608772	0,293531471	-1,170602833	0,241758458	0,884116799	NO	
rbr-2	4287,745579	-0,360760177	0,308198168	-1,170546145	0,241781256	0,884116799	NO	
hyl-2	2019,706688	-0,190425865	0,162708189	-1,170352065	0,241859317	0,884116799	NO	
Y42H9AR.2	25,94756927	0,29625191	0,253136892	1,170322935	0,241871035	0,884116799	NO	
Y37D8A.29	92,74974648	-0,334294697	0,285650817	-1,17029141	0,241883717	0,884116799	NO	
linc-120	13,71979412	0,372414114	0,318224929	1,170285797	0,241885976	0,884116799	NO	
R74.10	191,0029665	0,288694789	0,246692952	1,17025957	0,241896527	0,884116799	NO	
B0563.7	85,10113343	0,17223771	0,14718805	1,170188134	0,241925267	0,884116799	NO	
F49A5.10	4,266069743	-0,477679132	0,408217254	-1,170159095	0,241936951	0,884116799	NO	
T02B11.3	74,4551352	0,280263526	0,239520556	1,170102183	0,24195985	0,884116799	NO	
rom-4	1102,595837	-0,216434791	0,18501119	-1,169847032	0,242062533	0,884116799	NO	
ZK1248.19	550,8871582	0,22787042	0,194787233	1,169842687	0,242064282	0,884116799	NO	
T13H10.14	1,986937828	-0,963098416	0,823341665	-1,169743325	0,242104277	0,884116799	NO	
C25F9.12	63,67285834	0,278924964	0,238456125	1,169711885	0,242116934	0,884116799	NO	
F14H8.8	9,279514964	0,342699722	0,292988917	1,169667871	0,242134652	0,884116799	NO	
nhr-80	156,4179243	-0,162145241	0,138633852	-1,169593418	0,242164627	0,884116799	NO	
B0457.6	531,0269322	0,24780176	0,211886228	1,169503853	0,24220069	0,884116799	NO	
Y54F10AM.11	179,0837931	0,275189778	0,235319805	1,169428892	0,242230875	0,884116799	NO	
C41G11.9	63,60739546	-0,382335966	0,326971375	-1,169325499	0,242272513	0,884116799	NO	
srx-117	9,669328717	0,423418296	0,362107022	1,169318105	0,242275491	0,884116799	NO	
D2030.8	1121,722742	-0,185567879	0,158711971	-1,169211609	0,242318385	0,884116799	NO	
Y50D7A.8	2026,11286	-0,223747465	0,191367894	-1,169200643	0,242322802	0,884116799	NO	
F15A8.16	11,67989258	-0,279843971	0,239360629	-1,169131166	0,242350789	0,884116799	NO	
fbxc-10	81,76359217	-0,316336865	0,270578941	-1,16911118	0,24235884	0,884116799	NO	
fbxc-11	81,76359217	-0,316336865	0,270578941	-1,16911118	0,24235884	0,884116799	NO	
fbxc-12	81,76359217	-0,316336865	0,270578941	-1,16911118	0,24235884	0,884116799	NO	
fbxc-8	81,76359217	-0,316336865	0,270578941	-1,16911118	0,24235884	0,884116799	NO	
fbxc-9	81,76359217	-0,316336865	0,270578941	-1,16911118	0,24235884	0,884116799	NO	
R04B5.7	0,542051178	-1,873237049	1,60268526	-1,168811554	0,242479564	0,884116799	NO	
F46F6.5	1,018634633	1,177377873	1,007647848	1,168441808	0,242628599	0,884116799	NO	
ttr-16	13859,5049	0,226467743	0,193847653	1,168276938	0,242695075	0,884116799	NO	
nphp-2	520,4338815	-0,216914972	0,185676671	-1,168240309	0,242709845	0,884116799	NO	
zyx-1	4627,828054	-0,278989135	0,238821748	-1,168189819	0,242730206	0,884116799	NO	
nhr-17	1048,98177	-0,112692238	0,096470511	-1,168152177	0,242745387	0,884116799	NO	
npp-12	2170,551524	-0,245893359	0,210505685	-1,168107924	0,242763234	0,884116799	NO	
F41B4.1	279,3644632	-0,245129536	0,209857757	-1,168074698	0,242776636	0,884116799	NO	
C46A5.15	23,39325828	-0,461172147	0,394814139	-1,168074042	0,2427769	0,884116799	NO	
Y54E10BR.2	1543,780394	0,200462708	0,171619383	1,168065659	0,242780281	0,884116799	NO	
M04F3.2	453,4088298	-0,142419449	0,121930422	-1,168038674	0,242791165	0,884116799	NO	
F49E2.5	6687,381566	-0,373662732	0,31990759	-1,168033343	0,242793316	0,884116799	NO	
C40H1.3	28,22520963	-0,302420574	0,258934633	-1,167941769	0,242830254	0,884116799	NO	
ima-1	1244,423111	-0,16694341	0,142948812	-1,167854478	0,242865469	0,884116799	NO	
strd-1	1028,630135	0,083777439	0,071746966	1,167679195	0,242936192	0,884116799	NO	
Y53G8AR.8	1160,914543	-0,153412855	0,1313829	-1,167677489	0,24293688	0,884116799	NO	
M05D6.8	35,96296315	-0,294124582	0,251891043	-1,167665902	0,242941556	0,884116799	NO	
clec-143	111,1210517	0,308180601	0,263940151	1,167615461	0,242961911	0,884116799	NO	
F47B3.7	9,158057664	0,40302464	0,345173358	1,167600656	0,242967885	0,884116799	NO	
sup-17	4158,466742	-0,246012971	0,210700503	-1,167595561	0,242969942	0,884116799	NO	
tcab-1	669,9904581	0,106495723	0,091212565	1,167555402	0,242986149	0,884116799	NO	
C54G7.14	10,05984417	-0,647666557	0,554732664	-1,167529152	0,242996743	0,884116799	NO	
lec-9	4706,568741	0,259809405	0,222532027	1,167514665	0,243002589	0,884116799	NO	
F55G11.1	8,525569277	-0,44712349	0,382995648	-1,167437523	0,243033725	0,884116799	NO	
msrp-2	7,005087327	0,69429846	0,594737547	1,167403106	0,243047617	0,884116799	NO	
D1053.4	607,3535858	0,200517138	0,171765488	1,167388979	0,24305332	0,884116799	NO	
dcs-1	1310,398229	0,121640715	0,104209409	1,167271894	0,243100585	0,884116799	NO	
kin-18	3437,770484	-0,291162192	0,249444369	-1,167242994	0,243112253	0,884116799	NO	
gtl-1	841,5813608	-0,395000535	0,338443602	-1,167108883	0,243166401	0,884116799	NO	
F21G4.6	768,4336138	-0,340139093	0,291470923	-1,166974358	0,243220725	0,884116799	NO	
mrpl-41	2013,10324	0,210556974	0,180434458	1,166944364	0,243232838	0,884116799	NO	
acr-23	53,55540035	-0,233826888	0,200405832	-1,166766886	0,243304523	0,884116799	NO	
hint-1	1773,907189	0,205299782	0,175956207	1,166766357	0,243304737	0,884116799	NO	
sap-49	2439,681478	-0,250147362	0,214416583	-1,166641862	0,24335503	0,884116799	NO	
M04D5.1	102,5322611	-0,283977936	0,2434231	-1,166602249	0,243371035	0,884116799	NO	
ZC239.21	421,1801273	0,301633914	0,258557989	1,166600631	0,243371688	0,884116799	NO	
C32C4.3	104,312736	0,154126083	0,132117545	1,166583006	0,24337881	0,884116799	NO	
ZK813.1	0,6449097	-1,520665159	1,303776585	-1,166354095	0,24347131	0,884333706	NO	
T22F7.5	272,1406166	-0,305648976	0,262101805	-1,166146015	0,243555415	0,884520063	NO	
Y69A2AR.46	0,799080537	1,351102169	1,158847563	1,16590155	0,243654252	0,884759867	NO	
col-81	6,550735907	-0,500508541	0,429355302	-1,165721115	0,24372722	0,884905682	NO	
srt-23	6,423867593	-0,477237793	0,40942863	-1,165619006	0,24376852	0,884936495	NO	
snf-12	514,4255653	-0,236506126	0,202929001	-1,165462427	0,243831861	0,885044773	NO	
T03G11.10	56,2532565	-0,210616634	0,180758885	-1,165179982	0,243946147	0,885044773	NO	
lgl-1	1824,948584	-0,248334222	0,213147554	-1,165081265	0,2439861	0,885044773	NO	
swm-1	100,9631248	0,261693155	0,224615228	1,165073074	0,243989415	0,885044773	NO	
F26F12.11	0,837554492	-1,217450933	1,045054581	-1,164963969	0,244033578	0,885044773	NO	
col-17	7,721658716	0,876859045	0,752794764	1,16480492	0,244097967	0,885044773	NO	
irk-1	91,29958056	-0,297852944	0,255716374	-1,16477854	0,244108648	0,885044773	NO	
ced-5	1492,727451	-0,345456787	0,29663483	-1,164586056	0,244186591	0,885044773	NO	
sam-10	5835,809111	-0,236067177	0,202709395	-1,164559622	0,244197296	0,885044773	NO	
epg-8	2116,374236	-0,182562408	0,156780397	-1,164446653	0,24424305	0,885044773	NO	
Y75B8A.18	1820,916153	0,278240199	0,23896814	1,164340148	0,244286192	0,885044773	NO	
ppt-1	1311,871708	0,15501644	0,133139512	1,164315826	0,244296045	0,885044773	NO	
T23F2.8	0,409284135	1,772074018	1,522109978	1,164222063	0,244334031	0,885044773	NO	
C31G12.4	50,89943412	-0,403505339	0,346590757	-1,164212635	0,244337851	0,885044773	NO	
pxn-2	1205,049269	-0,330741774	0,284122498	-1,164081604	0,244390943	0,885044773	NO	
nac-1	821,8672722	0,15869205	0,136326005	1,164062937	0,244398507	0,885044773	NO	
C50E3.13	337,1110101	-0,243048113	0,208842852	-1,163784688	0,244511279	0,885044773	NO	
myo-1	6677,627071	-0,513268379	0,44104536	-1,163754176	0,244523647	0,885044773	NO	
F49C5.9	2,355446117	1,037426998	0,891473795	1,163721248	0,244536996	0,885044773	NO	
F31E9.6	282,7833956	0,152083642	0,130689803	1,163699378	0,244545862	0,885044773	NO	
npl-4.1	1850,376845	0,093789475	0,080601481	1,163619737	0,244578149	0,885044773	NO	
B0261.7	933,3623718	0,166673507	0,14323947	1,163600413	0,244585984	0,885044773	NO	
F11E6.7	4654,462085	-0,336552267	0,289236188	-1,163589763	0,244590302	0,885044773	NO	
C46C2.3	8,195370587	0,422263085	0,362911856	1,16354172	0,244609781	0,885044773	NO	
dgk-4	2202,63208	-0,287243782	0,246895242	-1,163423724	0,244657629	0,885044773	NO	
C01B10.45	4,072316964	-0,570957137	0,490771168	-1,163387693	0,24467224	0,885044773	NO	
R06C7.6	172,6873953	0,195544002	0,168085881	1,163357688	0,244684409	0,885044773	NO	
lgc-25	491,8922249	0,149226984	0,128281954	1,16327339	0,244718598	0,885049069	NO	
tag-276	493,0872521	0,269190746	0,231423986	1,163192938	0,244751231	0,885049069	NO	
F23C8.13	607,0854103	0,218237658	0,187633313	1,163107201	0,244786011	0,885056163	NO	
linc-46	28,86046234	0,259804751	0,223404161	1,162936041	0,244855453	0,885064457	NO	
bcs-1	787,5017338	0,090180083	0,077551372	1,162843165	0,24489314	0,885064457	NO	
H03G16.5	66,57918548	0,252820698	0,217432863	1,162752925	0,244929762	0,885064457	NO	
flh-2	2646,58313	-0,211596649	0,181995106	-1,162650212	0,24497145	0,885064457	NO	
C16D9.9	33,27413975	0,376838493	0,324166007	1,162486149	0,245038048	0,885064457	NO	
prx-12	552,2474141	0,115291283	0,099180974	1,162433461	0,245059438	0,885064457	NO	
bro-1	777,731504	-0,107103707	0,092140249	-1,162398721	0,245073542	0,885064457	NO	
linc-157	1,792806918	1,016765432	0,874726958	1,162380355	0,245080999	0,885064457	NO	
Y14H12B.2	652,2389293	-0,198615275	0,170870707	-1,162371709	0,24508451	0,885064457	NO	
fbxa-36	12,54772198	-0,39207102	0,337334461	-1,162261985	0,245129063	0,885064457	NO	
ceh-32	5175,235201	-0,167237863	0,143902302	-1,16216253	0,245169452	0,885064457	NO	
C29E4.12	1719,901486	0,229458607	0,197446363	1,162131341	0,245182119	0,885064457	NO	
Y38F2AR.12	1929,893191	-0,256239902	0,220572139	-1,161705663	0,245355045	0,885570156	NO	
sptf-3	2609,380771	-0,232534294	0,200213371	-1,161432388	0,245466104	0,885604583	NO	
D2045.5	10,71803301	0,436124287	0,37555557	1,161277643	0,245529008	0,885604583	NO	
cerk-1	2112,533382	-0,131509878	0,113248629	-1,161249186	0,245540577	0,885604583	NO	
F44E5.4	3535,714224	0,34970929	0,301165182	1,161187648	0,245565597	0,885604583	NO	
eat-17	2370,192949	-0,30230367	0,260361071	-1,161093971	0,245603686	0,885604583	NO	
chk-2	58,68881198	-0,247441302	0,213119756	-1,161043478	0,245624219	0,885604583	NO	
Y32F6B.8	3,907823056	-0,77257518	0,665491514	-1,160909139	0,245678852	0,885604583	NO	
mdt-6	1269,155606	-0,174276977	0,150129868	-1,160841476	0,245706372	0,885604583	NO	
ZK945.13	9,583425441	-0,484577993	0,417450003	-1,160804861	0,245721266	0,885604583	NO	
B0250.15	0,500694291	1,636729672	1,410021553	1,160783442	0,245729978	0,885604583	NO	
clec-50	1564,003457	-0,216585485	0,186589525	-1,160759076	0,24573989	0,885604583	NO	
ZK1290.10	26,61066836	-0,356696497	0,307312013	-1,160698188	0,245764659	0,885604583	NO	
Y102A11A.7	550,5535524	0,211201294	0,181970896	1,160632272	0,245791476	0,885604583	NO	
ess-2	1436,06359	0,099675654	0,085940382	1,15982326	0,246120772	0,886373292	NO	
F46A8.13	30,60179712	0,313928908	0,270691496	1,159729481	0,246158963	0,886373292	NO	
Y46G5A.7	2258,259464	0,206136667	0,177769676	1,159571591	0,246223273	0,886373292	NO	
F23A7.8	5904,052542	0,341697528	0,29469205	1,159507113	0,246249539	0,886373292	NO	
K05F1.1	79,37069256	-0,27994413	0,241439297	-1,159480388	0,246260426	0,886373292	NO	
dop-6	721,1478772	-0,267477898	0,230693796	-1,159449896	0,246272848	0,886373292	NO	
Y38C1AA.6	46,75757232	-0,290777552	0,250839091	-1,159219446	0,246366747	0,886373292	NO	
linc-33	18,36500245	-0,294742446	0,254293769	-1,159062793	0,246430591	0,886373292	NO	
ins-33	12,00463113	0,416598171	0,359440001	1,159020057	0,24644801	0,886373292	NO	
ctsa-4.2	496,3957852	-0,186284425	0,160730541	-1,158985865	0,246461947	0,886373292	NO	
T13H10.2	288,8753209	-0,189099612	0,163166824	-1,158934196	0,246483009	0,886373292	NO	
mboa-1	1448,669371	0,116573046	0,100590333	1,158889157	0,246501369	0,886373292	NO	
mdt-29	2190,264688	-0,183896101	0,158705081	-1,158728507	0,246566867	0,886373292	NO	
D1086.21	13,43583384	-0,394481585	0,340455616	-1,158687262	0,246583685	0,886373292	NO	
C37E2.9	1,06506983	-1,115933427	0,963121625	-1,158663037	0,246593563	0,886373292	NO	
F14D2.8	27,14666901	-0,201106955	0,173579527	-1,15858684	0,246624636	0,886373292	NO	
pcp-1	2564,481164	-0,159940798	0,13806352	-1,158458057	0,246677158	0,886373292	NO	
B0213.23	5,401511665	-0,550159715	0,474947523	-1,158358951	0,246717583	0,886373292	NO	
Y67A10A.342	92,59358472	-0,339270492	0,292915562	-1,158253556	0,246760578	0,886373292	NO	
col-155	670,9118852	0,221982718	0,191654288	1,158245507	0,246763862	0,886373292	NO	
ZK688.7	782,784128	0,233079176	0,201238455	1,158223836	0,246772704	0,886373292	NO	
wdr-23	4377,429315	-0,177749497	0,153491639	-1,158040256	0,246847609	0,886373292	NO	
R06A4.2	1607,249656	-0,264598186	0,228494941	-1,158004571	0,246862171	0,886373292	NO	
ZK377.15	64,86207638	-0,419351911	0,362139718	-1,157983754	0,246870666	0,886373292	NO	
pqn-29	557,8577601	-0,36542611	0,315583369	-1,157938425	0,246889165	0,886373292	NO	
nas-5	44,66008533	-0,272570911	0,235402342	-1,157893795	0,24690738	0,886373292	NO	
mrp-6	706,9859304	-0,235414895	0,203341218	-1,157733274	0,246972901	0,886373292	NO	
C14B1.8	956,1803405	-0,209611395	0,181077251	-1,15757995	0,247035495	0,886373292	NO	
ugt-57	1589,503186	-0,170644802	0,14742393	-1,157510873	0,247063699	0,886373292	NO	
C02D4.5	7,449984548	-0,778967416	0,672971313	-1,157504639	0,247066245	0,886373292	NO	
phf-15	1122,754041	-0,231493931	0,20001469	-1,157384642	0,247115246	0,886373292	NO	
K11G12.6	2162,821836	0,106484394	0,092012768	1,157278449	0,247158616	0,886373292	NO	
gpx-1	1167,473743	0,159150496	0,13753911	1,157129016	0,247219654	0,886373292	NO	
Y46E12BL.11	342,9078327	-0,170198215	0,147102934	-1,15700082	0,247272025	0,886373292	NO	
srd-64	2,69177362	-0,892980119	0,771825818	-1,156971039	0,247284193	0,886373292	NO	
ZC262.13	125,8954203	-0,219879775	0,190048747	-1,15696514	0,247286603	0,886373292	NO	
elks-1	5093,683571	-0,225176519	0,194629835	-1,156947596	0,247293771	0,886373292	NO	
rps-22	18517,11503	0,17587202	0,152013819	1,156947582	0,247293777	0,886373292	NO	
C25F9.11	278,5744596	0,20828099	0,180033785	1,15689947	0,247313435	0,886373292	NO	
seu-1	3778,93132	-0,241112042	0,20842429	-1,15683274	0,247340703	0,886373292	NO	
sfxn-1.4	233,4671618	-0,189108216	0,1634783	-1,156778701	0,247362786	0,886373292	NO	
hsp-90	44694,80547	0,123447042	0,106722709	1,156708289	0,247391562	0,886373292	NO	
msp-55	0,543415478	-2,040816318	1,764429984	-1,156643412	0,247418078	0,886373292	NO	
Y51F10.4	1388,251158	-0,075815326	0,06555411	-1,156530478	0,24746424	0,886420919	NO	
srm-6	18,18236779	-0,369921926	0,319899053	-1,156370808	0,247529517	0,886536991	NO	
Y47G6A.18	4204,144267	0,106650949	0,092235884	1,156284771	0,247564695	0,886545249	NO	
Y42H9AR.1	2378,23104	-0,252539008	0,218441795	-1,1560929	0,24764316	0,886566316	NO	
K04C1.3	497,3228858	-0,211697141	0,183152094	-1,15585433	0,247740746	0,886566316	NO	
Y94H6A.5	3182,541917	-0,264352359	0,228725928	-1,155760351	0,247779195	0,886566316	NO	
F09C6.3	2,774921592	0,939013809	0,812474199	1,155746005	0,247785065	0,886566316	NO	
sri-48	30,37830872	0,370324885	0,320498628	1,155464806	0,247900137	0,886566316	NO	
T16G1.9	3432,014729	-0,12751419	0,110360492	-1,155433328	0,247913021	0,886566316	NO	
F08G12.11	40,18048605	0,161991259	0,140218788	1,155274989	0,247977835	0,886566316	NO	
ZK1098.13	59,4513512	-0,385995404	0,334150193	-1,155155413	0,24802679	0,886566316	NO	
otpl-2	26,86496662	-0,291123062	0,25203098	-1,155108241	0,248046104	0,886566316	NO	
unc-120	3197,313295	-0,150617927	0,13039578	-1,155082829	0,248056509	0,886566316	NO	
sri-40	25,10847572	0,378722811	0,327954599	1,154802562	0,248171288	0,886566316	NO	
C25E10.12	877,9009266	0,127342591	0,110279658	1,154724217	0,248203379	0,886566316	NO	
D1044.7	32,48082434	0,302116811	0,261639404	1,154706846	0,248210495	0,886566316	NO	
mam-8	528,4922772	-0,1396111	0,120918689	-1,154586618	0,248259749	0,886566316	NO	
Y57G11C.9	6701,18016	-0,238280669	0,206381969	-1,15456147	0,248270053	0,886566316	NO	
Y59A8B.27	31847,92506	0,097249548	0,084230804	1,154560363	0,248270506	0,886566316	NO	
Y59A8B.30	31847,92506	0,097249548	0,084230804	1,154560363	0,248270506	0,886566316	NO	
F14F8.15	7,416543772	0,481773404	0,417304334	1,154489337	0,248299608	0,886566316	NO	
W06G6.12	7,416543772	0,481773404	0,417304334	1,154489337	0,248299608	0,886566316	NO	
F56F10.10	8,31749414	-0,347966426	0,301426438	-1,154399154	0,248336562	0,886566316	NO	
F29B9.11	6148,559761	0,18160591	0,157317516	1,154390911	0,24833994	0,886566316	NO	
W05B2.11	1,114357452	-0,990275972	0,857899356	-1,1543032	0,248375885	0,886566316	NO	
prpf-4	3535,121706	-0,331631651	0,287300645	-1,1543018	0,248376459	0,886566316	NO	
Y71F9B.22	118,6839767	-0,26276976	0,227670205	-1,154168414	0,24843113	0,886566316	NO	
R02D5.4	16,48256169	0,39002272	0,337939739	1,154119136	0,248451329	0,886566316	NO	
K08E5.11	0,444715668	-1,721431413	1,491609857	-1,154076184	0,248468936	0,886566316	NO	
snf-6	1247,578455	-0,252110307	0,218465987	-1,154002554	0,248499122	0,886566316	NO	
Y51B9A.6	29,5593629	0,332823814	0,288411523	1,153989309	0,248504552	0,886566316	NO	
F25G6.1	499,0150225	-0,338476586	0,293325955	-1,153926479	0,248530312	0,886566316	NO	
ddr-1	1612,248065	-0,221235852	0,191737553	-1,15384727	0,248562791	0,886566316	NO	
